학교코드(KEDI),학교명_20251001,행정구_20251001,설립_20251001,지역규모_20251001,주소_20251001,학생수_20251001,학급수_20251001,교원수_20251001,학급당학생수_20251001_공시,교원1인당학생수_20251001_공시,부산교육청_기준학생수_정책2026,학생수기준_충족_정책2026,정책적용대상_공립_정책2026,주분석대상_소규모공립_정책2026,학생수_20250401_1학년,학급수_20250401_1학년,학생수_20250401_2학년,학급수_20250401_2학년,학생수_20250401_3학년,학급수_20250401_3학년,학생수_20250401_4학년,학급수_20250401_4학년,학생수_20250401_5학년,학급수_20250401_5학년,학생수_20250401_6학년,학급수_20250401_6학년,학생수_20250401_반합계,학급수_20250401_반합계,조사기준일_데이터3,학생수_20250401_학교총계,학급수_20250401_학교총계,교지면적_20250401,학생1인당교지면적_20250401_공시,일반교실수_20250401,교과교실수_20250401,특별교실수_20250401,수준별교실수_20250401,기타교실수_20250401,전체교실수_20250401,학생수_일반교실_20250401,학생수_전체교실_20250401,학급당학생수_20251001_계산,교원1인당학생수_20251001_계산
216021115,방곡초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 정관덕산길 61(정관읍),960,42,61,22.9,15.7,120,False,True,False,112.0,5.0,129.0,6.0,157.0,6.0,196.0,8.0,194.0,8.0,172.0,9.0,960.0,42.0,20250401,960,42,14202,14.8,49,3,4,0,0,56,19.591836734693878,17.142857142857142,22.857142857142858,15.737704918032787
216021242,신정초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 정관로 460(정관읍. 신정초등학교),655,31,41,21.1,16.0,120,False,True,False,82.0,5.0,84.0,4.0,111.0,6.0,137.0,6.0,129.0,5.0,119.0,5.0,662.0,31.0,20250401,662,31,13648,20.6,32,0,11,0,5,48,20.6875,13.791666666666666,21.129032258064516,15.975609756097562
216021340,신진초등학교,기장군,공립,면지역,부산광역시 기장군 철마면 고촌로28번길 10(철마면. 신진초등학교),151,11,18,13.7,8.4,120,False,True,False,19.0,2.0,21.0,1.0,32.0,2.0,26.0,2.0,32.0,2.0,26.0,2.0,156.0,11.0,20250401,156,11,13654,87.5,14,0,9,0,2,25,11.142857142857142,6.24,13.727272727272727,8.38888888888889
216021172,용암초등학교,기장군,공립,읍지역,부산광역시 기장군 기장읍 기장해안로 577. 용암초등학교 (기장읍),68,7,14,9.7,4.9,120,True,True,True,7.0,1.0,17.0,1.0,12.0,1.0,10.0,2.0,11.0,1.0,13.0,1.0,70.0,7.0,20250401,70,7,8975,128.2,8,0,2,0,2,12,8.75,5.833333333333333,9.714285714285714,4.857142857142857
216021376,월내초등학교,기장군,공립,읍지역,부산광역시 기장군 장안읍 길천2길 25(장안읍. 월내초등학교),150,11,16,13.6,9.4,120,False,True,False,25.0,2.0,21.0,1.0,26.0,2.0,28.0,2.0,29.0,2.0,27.0,2.0,156.0,11.0,20250401,156,11,10841,69.5,12,3,6,1,2,24,13.0,6.5,13.636363636363637,9.375
216021388,월평초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 월평1길 21(정관읍. 월평초등학교),53,7,14,7.6,3.8,120,True,True,True,10.0,2.0,11.0,1.0,7.0,1.0,9.0,1.0,7.0,1.0,11.0,1.0,55.0,7.0,20250401,55,7,9622,174.9,8,0,3,0,0,11,6.875,5.0,7.571428571428571,3.7857142857142856
216021367,일광초등학교,기장군,공립,읍지역,부산광역시 기장군 일광읍 해빛로 46(일광읍),1023,43,68,23.8,15.0,120,False,True,False,148.0,7.0,183.0,7.0,170.0,7.0,190.0,8.0,171.0,7.0,170.0,7.0,1032.0,43.0,20250401,1032,43,13912,13.5,43,4,6,0,2,55,24.0,18.763636363636362,23.790697674418606,15.044117647058824
216021424,장안초등학교,기장군,공립,읍지역,부산광역시 기장군 장안읍 장안로 67-4(장안읍.장안초등학교),58,6,14,9.7,4.1,120,True,True,True,4.0,1.0,12.0,1.0,13.0,1.0,9.0,1.0,10.0,1.0,10.0,1.0,58.0,6.0,20250401,58,6,7448,128.4,7,0,4,0,1,12,8.285714285714286,4.833333333333333,9.666666666666666,4.142857142857143
216021448,정관초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 정관로 530. 정관초등학교 (정관읍),1237,50,74,24.7,16.7,120,False,True,False,164.0,8.0,175.0,7.0,226.0,9.0,213.0,8.0,236.0,9.0,219.0,9.0,1233.0,50.0,20250401,1233,50,13718,11.1,50,0,5,0,5,60,24.66,20.55,24.74,16.716216216216218
216021717,정원초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 정관로 423. 정원초등학교 (정관읍),1000,44,68,22.7,14.7,120,False,True,False,112.0,6.0,129.0,6.0,166.0,8.0,188.0,7.0,192.0,8.0,215.0,9.0,1002.0,44.0,20250401,1002,44,13545,13.5,44,3,6,0,2,55,22.772727272727273,18.21818181818182,22.727272727272727,14.705882352941176
216021484,좌천초등학교,기장군,공립,읍지역,부산광역시 기장군 장안읍 좌천로 13-66. 좌천초등학교 (장안읍),37,7,14,5.3,2.6,120,True,True,True,0.0,1.0,8.0,1.0,13.0,2.0,7.0,1.0,8.0,1.0,3.0,1.0,39.0,7.0,20250401,39,7,13112,336.2,10,0,2,0,0,12,3.9,3.25,5.285714285714286,2.642857142857143
