소규모학교_KEDI,소규모학교명,소규모학교_행정구,소규모학교_학생수_20251001,후보학교_KEDI,후보학교명,후보학교_행정구,후보학교_학생수_20251001,후보학교_학급당학생수_20251001,후보학교_소규모여부_정책2026,학교간직선거리_km,후보생성기준,거리순위_3km내
214021352,서명초등학교,금정구,36,214021361,수안초등학교,동래구,166,13.833333333333334,True,2.08145,학교점 간 직선거리 3km 이하,19
214021352,서명초등학교,금정구,36,214021316,부곡초등학교,금정구,445,21.19047619047619,False,2.106848,학교점 간 직선거리 3km 이하,20
214021352,서명초등학교,금정구,36,216021021,반안초등학교,해운대구,516,20.64,False,2.170908,학교점 간 직선거리 3km 이하,21
214021352,서명초등학교,금정구,36,214021514,충렬초등학교,동래구,94,13.428571428571429,True,2.257606,학교점 간 직선거리 3km 이하,22
214021352,서명초등학교,금정구,36,214021542,안진초등학교,동래구,394,21.88888888888889,False,2.303987,학교점 간 직선거리 3km 이하,23
214021352,서명초등학교,금정구,36,214021384,안민초등학교,동래구,615,21.964285714285715,False,2.347171,학교점 간 직선거리 3km 이하,24
214021352,서명초등학교,금정구,36,214021214,미남초등학교,동래구,266,17.733333333333334,False,2.359004,학교점 간 직선거리 3km 이하,25
214021352,서명초등학교,금정구,36,214021619,온샘초등학교,동래구,1380,24.210526315789473,False,2.447636,학교점 간 직선거리 3km 이하,26
214021352,서명초등학교,금정구,36,214021471,연신초등학교,연제구,578,20.642857142857142,False,2.521179,학교점 간 직선거리 3km 이하,27
214021352,서명초등학교,금정구,36,214021158,거학초등학교,연제구,543,21.72,False,2.545442,학교점 간 직선거리 3km 이하,28
214021352,서명초등학교,금정구,36,214021470,연서초등학교,연제구,591,19.7,False,2.785156,학교점 간 직선거리 3km 이하,29
214021352,서명초등학교,금정구,36,216021238,반석초등학교,해운대구,62,8.857142857142858,True,2.79586,학교점 간 직선거리 3km 이하,30
214021352,서명초등학교,금정구,36,216021412,장산초등학교,해운대구,701,22.612903225806452,False,2.83067,학교점 간 직선거리 3km 이하,31
214021352,서명초등학교,금정구,36,214021370,안남초등학교,동래구,732,22.875,False,2.864496,학교점 간 직선거리 3km 이하,32
214021352,서명초등학교,금정구,36,214021195,금양초등학교,금정구,658,19.939393939393938,False,2.903523,학교점 간 직선거리 3km 이하,33
214021532,현곡초등학교,금정구,86,214021262,동현초등학교,금정구,289,18.0625,False,0.65337,학교점 간 직선거리 3km 이하,1
214021532,현곡초등학교,금정구,86,214021316,부곡초등학교,금정구,445,21.19047619047619,False,0.859837,학교점 간 직선거리 3km 이하,2
214021532,현곡초등학교,금정구,86,214021024,서동초등학교,금정구,62,8.857142857142858,True,0.866099,학교점 간 직선거리 3km 이하,3
214021532,현곡초등학교,금정구,86,214021190,금정초등학교,금정구,1298,24.037037037037038,False,1.086062,학교점 간 직선거리 3km 이하,4
214021532,현곡초등학교,금정구,86,214021352,서명초등학교,금정구,36,5.142857142857143,True,1.318485,학교점 간 직선거리 3km 이하,5
214021532,현곡초등학교,금정구,86,214021145,교동초등학교,동래구,862,23.2972972972973,False,1.338177,학교점 간 직선거리 3km 이하,6
214021532,현곡초등학교,금정구,86,214021172,금사초등학교,금정구,268,16.75,False,1.465566,학교점 간 직선거리 3km 이하,7
214021532,현곡초등학교,금정구,86,214021180,금빛초등학교,금정구,693,21.65625,False,1.496948,학교점 간 직선거리 3km 이하,8
214021532,현곡초등학교,금정구,86,214021195,금양초등학교,금정구,658,19.939393939393938,False,1.646749,학교점 간 직선거리 3km 이하,9
214021532,현곡초등학교,금정구,86,214021289,명서초등학교,동래구,94,13.428571428571429,True,1.689559,학교점 간 직선거리 3km 이하,10
214021532,현곡초등학교,금정구,86,214021253,동상초등학교,금정구,100,14.285714285714286,True,1.966734,학교점 간 직선거리 3km 이하,11
214021532,현곡초등학교,금정구,86,214021487,장전초등학교,금정구,428,19.454545454545453,False,2.048871,학교점 간 직선거리 3km 이하,12
214021532,현곡초등학교,금정구,86,214021298,명장초등학교,동래구,339,18.833333333333332,False,2.078554,학교점 간 직선거리 3km 이하,13
